rt,subject_id,group,phase,task,block,trial_n,watch_only,prop_SC,prop_OC,prop_R,trial_colour,trial_size,trial_velocity,trial_role,pressed,outcome,outcome_shown,completion_ms,completion_min
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,1,1,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,2,1,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,3,1,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,4,1,velocity,size,colour,blue,large,slow,OC,0,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,5,1,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,6,1,velocity,size,colour,blue,large,slow,OC,0,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,7,1,velocity,size,colour,red,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,8,1,velocity,size,colour,red,large,slow,OC,0,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,9,1,velocity,size,colour,red,large,slow,OC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,1,10,1,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
1907.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,1,0,velocity,size,colour,blue,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,2,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,3,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,4,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
2723.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,5,0,velocity,size,colour,red,small,slow,R,1,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,6,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
1120.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,7,0,velocity,size,colour,blue,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,8,0,velocity,size,colour,blue,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,9,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,10,0,velocity,size,colour,red,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,11,0,velocity,size,colour,red,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,12,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,13,0,velocity,size,colour,blue,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,14,0,velocity,size,colour,blue,small,fast,SC,0,0,1,1552120,25.868666666666666
1978.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,15,0,velocity,size,colour,red,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,16,0,velocity,size,colour,red,small,slow,R,0,0,1,1552120,25.868666666666666
1711.0,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,17,0,velocity,size,colour,red,large,slow,OC,1,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,18,0,velocity,size,colour,red,small,slow,R,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,19,0,velocity,size,colour,blue,small,slow,R,0,1,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,20,0,velocity,size,colour,blue,large,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,21,0,velocity,size,colour,red,small,fast,SC,0,0,1,1552120,25.868666666666666
,542bdb6dfdf99b324ea37c3a,A,outcome,1,2,22,0,velocity,size,colour,red,large,fast,SC,0,0,1,1552120,25.868666666666666
