subject_id,group,prop_SC,prop_OC,prop_R,sc_positive_task1,sc_positive_task2,oc_positive,r_positive
542bdb6dfdf99b324ea37c3a,A,velocity,size,colour,fast,fast,large,red
56153d5e7ffc8a000a811ba8,A,velocity,size,colour,fast,fast,large,blue
56eeb66a524cc0000a5fa4a2,B,colour,size,velocity,red,green,small,slow
5827634ea80bf4000199994b,B,size,velocity,colour,small,small,slow,red
598f22af33481c000164d359,A,size,velocity,colour,large,large,slow,red
5996d2256b939900012d9f22,B,velocity,size,colour,fast,fast,small,blue
5a6725d4c0d836000107f6e7,B,size,velocity,colour,small,small,fast,blue
5abbe13268b65b00018cf94b,A,size,colour,velocity,small,small,blue,fast
5ad0422dfb109b0001a30f35,B,colour,velocity,size,blue,green,slow,large
5b9d57e5737d030001ad2cbf,B,size,colour,velocity,large,large,blue,slow
5baa3265c0a8c000014bea73,A,colour,size,velocity,blue,green,large,fast
5e809dc29984aa77c1a4decd,B,colour,velocity,size,red,green,slow,large
5ef3efcb420ab11a45a0b8a6,A,velocity,colour,size,slow,slow,red,small
5ef7783026861249d8eb58ef,A,velocity,size,colour,fast,fast,small,red
5f4a8c8347b9fe5082353a3c,A,velocity,size,colour,fast,fast,small,blue
5f78863ec51814422de56470,B,size,velocity,colour,large,large,fast,red
5f7aaea6bf94dd717b471063,A,velocity,size,colour,slow,slow,small,blue
5f8aa207fb62d0000838847c,B,velocity,size,colour,fast,fast,large,red
5f8ece6117db5206eafc8b73,A,velocity,size,colour,fast,fast,large,red
60b610d8c3c4f177c8337729,B,colour,size,velocity,blue,purple,large,slow
61673b692a55fba0f6b8abf1,A,colour,size,velocity,blue,purple,large,fast
6266b7c4afe8a0ff03ca1f53,A,velocity,size,colour,fast,fast,large,red
62b2080f8f89f2f15c47d9ba,A,velocity,size,colour,slow,slow,large,red
6315fdca8c4637cea9f114cf,A,colour,size,velocity,blue,green,large,slow
63174af7d57182f9bf90c094,A,size,colour,velocity,large,large,red,fast
63d79fcd741f9cfb2f87152f,A,size,velocity,colour,large,large,fast,red
63f93b47bb0c1a1aca131480,A,size,colour,velocity,large,large,blue,fast
644963b432e6a701b58ea4ac,B,size,colour,velocity,small,small,blue,slow
6551469abe377d3646c6cd6e,A,colour,velocity,size,blue,purple,slow,small
65c242831388550b0a42bd25,B,size,colour,velocity,small,small,blue,fast
66009cc9d723785b43dc5552,A,velocity,colour,size,slow,slow,red,large
6606d4f4acdc3a6b8200c0ee,A,velocity,colour,size,fast,fast,red,large
66854df2e5fef4239ff63a7d,B,size,velocity,colour,large,large,fast,blue
668e8b2d29cef7917c9b19bd,B,colour,size,velocity,blue,purple,small,fast
669053bbebafdd430e770142,B,size,velocity,colour,large,large,fast,blue
66b76713e0b9b4578e06bb8a,A,velocity,size,colour,fast,fast,small,red
66c20b634a3b292d25596fbc,B,size,velocity,colour,large,large,fast,red
66c605bf16b21d64057a018b,B,size,velocity,colour,large,large,fast,blue
66def1304e37adb3349f648f,A,colour,velocity,size,blue,purple,slow,small
66f69dcc061074dacb886b52,B,colour,size,velocity,red,green,large,slow
66fad26e4b07f6149ceb136d,B,colour,size,velocity,blue,purple,large,slow
66fbf4af6d1c61e9435fe2bb,B,size,velocity,colour,small,small,fast,blue
6716152e33a2af901d7e9196,B,velocity,colour,size,slow,slow,red,large
673b723b78a95d45ec47c311,A,colour,velocity,size,red,purple,slow,large
6747a1d066cd71f10db36d9a,B,size,velocity,colour,small,small,slow,blue
6767d7cae5619579957091d8,B,colour,size,velocity,red,purple,small,slow
677302ad15f7e3d0c1725fef,A,velocity,colour,size,fast,fast,red,large
6773edcbb205d22a2e097948,B,velocity,colour,size,fast,fast,red,large
677580b9fa6b77a8332d2237,A,velocity,size,colour,slow,slow,small,blue
67792abbab2fa21bf3644c09,A,size,colour,velocity,large,large,blue,fast
677948fa843635fdb42a4351,A,colour,size,velocity,blue,green,large,slow
67913bb270c5970717520975,A,colour,size,velocity,red,purple,large,slow
67c3552b821be870e6f02737,A,velocity,colour,size,slow,slow,red,large
67d411652ada0a7584b2558e,B,size,colour,velocity,small,small,blue,fast
695c0b495401e21ebd0d17c8,B,size,velocity,colour,small,small,slow,red
696c14c4c7de2d012b0911cb,B,size,colour,velocity,small,small,red,slow
6978c3a72db1c98638d31aa7,B,size,velocity,colour,large,large,slow,red
6978ce449b790cb61d7c52c2,A,velocity,size,colour,slow,slow,large,red
697913a58dc4a9fc4359367a,B,velocity,size,colour,slow,slow,large,blue
69791f7d8a6ca1ff935493cf,A,size,velocity,colour,small,small,slow,blue
697a5614745df50effc7531a,A,colour,velocity,size,red,green,slow,large
697a617c5a65b0190b2fd918,A,colour,velocity,size,blue,purple,fast,large
697a8f0105cbab23fe7697f6,A,velocity,size,colour,slow,slow,small,blue
697f4a00c858108580e08f4b,A,colour,size,velocity,blue,green,small,slow
6988fa79aa367d8f30d9f395,A,colour,size,velocity,blue,green,large,fast
698a1aecb901606f08bb1ecb,A,velocity,size,colour,slow,slow,large,blue
699b3b0cd963c155945362cd,A,size,velocity,colour,small,small,fast,red
69a437b670c7fd03cf034f28,B,colour,velocity,size,blue,purple,fast,small
69b45198dc4d36948432efed,B,colour,size,velocity,red,green,small,fast
69c168fca6d68ca06a4219ca,A,size,velocity,colour,large,large,fast,red
